source,level,rank,russian,translations,detail_path,page_url
openrussian,B1,107,по́лный,full; absolute; exhaustive; stout; full of,/ru/%D0%BF%D0%BE'%D0%BB%D0%BD%D1%8B%D0%B9,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,108,узна́ть,learn; recognize,/ru/%D1%83%D0%B7%D0%BD%D0%B0'%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,109,любо́й,any; as you like,/ru/%D0%BB%D1%8E%D0%B1%D0%BE'%D0%B9,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,110,бог,God,/ru/%D0%B1%D0%BE%D0%B3,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,111,прийти́,come,/ru/%D0%BF%D1%80%D0%B8%D0%B9%D1%82%D0%B8',https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,112,ходи́ть,go,/ru/%D1%85%D0%BE%D0%B4%D0%B8'%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,113,заме́тить,notice,/ru/%D0%B7%D0%B0%D0%BC%D0%B5'%D1%82%D0%B8%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,114,изве́стный,well-known,/ru/%D0%B8%D0%B7%D0%B2%D0%B5'%D1%81%D1%82%D0%BD%D1%8B%D0%B9,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,115,па́лец,finger; toe,/ru/%D0%BF%D0%B0'%D0%BB%D0%B5%D1%86,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,116,сло́вно,as if; seemingly,/ru/%D1%81%D0%BB%D0%BE'%D0%B2%D0%BD%D0%BE,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,117,наконе́ц,finally; at length; in conclusion,/ru/%D0%BD%D0%B0%D0%BA%D0%BE%D0%BD%D0%B5'%D1%86,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,118,о́бщий,common; public,/ru/%D0%BE'%D0%B1%D1%89%D0%B8%D0%B9,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,119,и́мя,name; reputation; noun,/ru/%D0%B8'%D0%BC%D1%8F,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,120,быва́ть,To be; To happen; To be inclined to be; to visit,/ru/%D0%B1%D1%8B%D0%B2%D0%B0'%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,121,мысль,thought; idea,/ru/%D0%BC%D1%8B%D1%81%D0%BB%D1%8C,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,122,слы́шать,"to hear; (colloquial, transitive) to smell",/ru/%D1%81%D0%BB%D1%8B'%D1%88%D0%B0%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,123,уйти́,"leave; take (time, quantity...); retire",/ru/%D1%83%D0%B9%D1%82%D0%B8',https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,124,боя́ться,to be afraid; constant state of fear from something or someone,/ru/%D0%B1%D0%BE%D1%8F'%D1%82%D1%8C%D1%81%D1%8F,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,125,давно́,how long; a long time ago,/ru/%D0%B4%D0%B0%D0%B2%D0%BD%D0%BE',https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,126,слу́шать,to listen; to hear,/ru/%D1%81%D0%BB%D1%83'%D1%88%D0%B0%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,127,разгово́р,conversation; (plural) rumors,/ru/%D1%80%D0%B0%D0%B7%D0%B3%D0%BE%D0%B2%D0%BE'%D1%80,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,128,нельзя́,one cannot; one should not,/ru/%D0%BD%D0%B5%D0%BB%D1%8C%D0%B7%D1%8F',https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,129,похо́жий,similar,/ru/%D0%BF%D0%BE%D1%85%D0%BE'%D0%B6%D0%B8%D0%B9,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,130,пра́во,right; law,/ru/%D0%BF%D1%80%D0%B0'%D0%B2%D0%BE,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,131,лес,woods; timber; scaffolding; much,/ru/%D0%BB%D0%B5%D1%81,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,132,гляде́ть,look,/ru/%D0%B3%D0%BB%D1%8F%D0%B4%D0%B5'%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,133,путь,way,/ru/%D0%BF%D1%83%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,134,ты́сяча,a thousand,/ru/%D1%82%D1%8B'%D1%81%D1%8F%D1%87%D0%B0,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,135,пора́,time,/ru/%D0%BF%D0%BE%D1%80%D0%B0',https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,136,по́ра,pore,/ru/%D0%BF%D0%BE'%D1%80%D0%B0,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,137,кра́сный,red,/ru/%D0%BA%D1%80%D0%B0'%D1%81%D0%BD%D1%8B%D0%B9,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,138,сесть,to sit down,/ru/%D1%81%D0%B5%D1%81%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,139,кро́ме,except,/ru/%D0%BA%D1%80%D0%BE'%D0%BC%D0%B5,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,140,стена́,wall,/ru/%D1%81%D1%82%D0%B5%D0%BD%D0%B0',https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,141,остава́ться,stay; to be the only possible action,/ru/%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%B0'%D1%82%D1%8C%D1%81%D1%8F,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,142,ж,then,/ru/%D0%B6,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,143,высо́кий,"tall; high (altitude,intensity,pitch etc.); good; lofty",/ru/%D0%B2%D1%8B%D1%81%D0%BE'%D0%BA%D0%B8%D0%B9,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,144,хоте́ться,(impersonal) to like; want,/ru/%D1%85%D0%BE%D1%82%D0%B5'%D1%82%D1%8C%D1%81%D1%8F,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,145,соверше́нно,perfectly,/ru/%D1%81%D0%BE%D0%B2%D0%B5%D1%80%D1%88%D0%B5'%D0%BD%D0%BD%D0%BE,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,146,написа́ть,to write; to paint,/ru/%D0%BD%D0%B0%D0%BF%D0%B8%D1%81%D0%B0'%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,147,пусть,let,/ru/%D0%BF%D1%83%D1%81%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,148,ра́нний,early,/ru/%D1%80%D0%B0'%D0%BD%D0%BD%D0%B8%D0%B9,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,149,чу́вствовать,to feel,/ru/%D1%87%D1%83'%D0%B2%D1%81%D1%82%D0%B2%D0%BE%D0%B2%D0%B0%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,150,спина́,back,/ru/%D1%81%D0%BF%D0%B8%D0%BD%D0%B0',https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,151,це́лый,whole; intact; integer,/ru/%D1%86%D0%B5'%D0%BB%D1%8B%D0%B9,https://en.openrussian.org/vocab/B1?start=150
openrussian,B1,152,вести́,to lead; to behave (oneself); to keep a diary; to drive; be engaged,/ru/%D0%B2%D0%B5%D1%81%D1%82%D0%B8',https://en.openrussian.org/vocab/B1?start=150
openrussian,B1,153,огро́мный,enormous,/ru/%D0%BE%D0%B3%D1%80%D0%BE'%D0%BC%D0%BD%D1%8B%D0%B9,https://en.openrussian.org/vocab/B1?start=150
openrussian,B1,154,те́ло,body,/ru/%D1%82%D0%B5'%D0%BB%D0%BE,https://en.openrussian.org/vocab/B1?start=150
openrussian,B1,155,настоя́щий,present; true,/ru/%D0%BD%D0%B0%D1%81%D1%82%D0%BE%D1%8F'%D1%89%D0%B8%D0%B9,https://en.openrussian.org/vocab/B1?start=150
openrussian,B1,156,продолжа́ть,to continue; to keep on,/ru/%D0%BF%D1%80%D0%BE%D0%B4%D0%BE%D0%BB%D0%B6%D0%B0'%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=150
openrussian,B1,157,то́чно,exactly; definitely; accurate,/ru/%D1%82%D0%BE'%D1%87%D0%BD%D0%BE,https://en.openrussian.org/vocab/B1?start=150
openrussian,B1,158,язы́к,tongue; language; prisoner,/ru/%D1%8F%D0%B7%D1%8B'%D0%BA,https://en.openrussian.org/vocab/B1?start=150
openrussian,B1,159,среди́,among,/ru/%D1%81%D1%80%D0%B5%D0%B4%D0%B8',https://en.openrussian.org/vocab/B1?start=150
openrussian,B1,160,стари́к,old man; parents (colloquial plural),/ru/%D1%81%D1%82%D0%B0%D1%80%D0%B8'%D0%BA,https://en.openrussian.org/vocab/B1?start=150
openrussian,B1,161,успе́ть,to have time; to manage to do (in time),/ru/%D1%83%D1%81%D0%BF%D0%B5'%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=150
openrussian,B1,162,смерть,death; (emphatic with как) dying for; desperately,/ru/%D1%81%D0%BC%D0%B5%D1%80%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=150
openrussian,B1,163,власть,power; authority,/ru/%D0%B2%D0%BB%D0%B0%D1%81%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=150
openrussian,B1,164,ма́льчик,boy; lad; apprentice,/ru/%D0%BC%D0%B0'%D0%BB%D1%8C%D1%87%D0%B8%D0%BA,https://en.openrussian.org/vocab/B1?start=150
openrussian,B1,165,та́кже,also,/ru/%D1%82%D0%B0'%D0%BA%D0%B6%D0%B5,https://en.openrussian.org/vocab/B1?start=150
